92,True,True,normalized_cres_ai_no_abs,beta,300,0.001,0.544
93,True,True,normalized_cres_ai_no_abs,lowgamma,30,0.634,0.334
94,True,True,normalized_cres_ai_no_abs,lowgamma,60,0.184,1.0
95,True,True,normalized_cres_ai_no_abs,lowgamma,120,0.065,0.168
96,True,True,normalized_cres_ai_no_abs,lowgamma,300,0.383,0.389
97,True,True,normalized_cres_ai_no_abs,highgamma,30,0.04,0.918
98,True,True,normalized_cres_ai_no_abs,highgamma,60,0.001,0.649
99,True,True,normalized_cres_ai_no_abs,highgamma,120,0.001,0.983
100,True,True,normalized_cres_ai_no_abs,highgamma,300,0.001,0.812
101,True,False,abs_cres,broadband_CC,30,0.745,0.534
102,True,False,abs_cres,broadband_CC,60,0.553,0.543
103,True,False,abs_cres,broadband_CC,120,0.976,0.984
104,True,False,abs_cres,broadband_CC,300,0.427,0.783
105,True,False,abs_cres,alphatheta,30,0.863,0.989
106,True,False,abs_cres,alphatheta,60,0.929,0.965
107,True,False,abs_cres,alphatheta,120,0.495,0.514
108,True,False,abs_cres,alphatheta,300,0.095,0.279
109,True,False,abs_cres,beta,30,0.907,0.862
110,True,False,abs_cres,beta,60,0.444,0.807
111,True,False,abs_cres,beta,120,0.258,0.429
112,True,False,abs_cres,beta,300,0.169,0.333
113,True,False,abs_cres,lowgamma,30,0.12,0.958
114,True,False,abs_cres,lowgamma,60,0.016,0.667
115,True,False,abs_cres,lowgamma,120,0.11,0.67
116,True,False,abs_cres,lowgamma,300,0.133,0.52
117,True,False,abs_cres,highgamma,30,0.355,0.299
118,True,False,abs_cres,highgamma,60,0.59,0.299
119,True,False,abs_cres,highgamma,120,0.548,0.322
120,True,False,abs_cres,highgamma,300,0.721,0.483
121,True,False,cres,broadband_CC,30,0.076,0.074
122,True,False,cres,broadband_CC,60,0.072,0.063
123,True,False,cres,broadband_CC,120,0.082,0.193
124,True,False,cres,broadband_CC,300,0.634,0.518
125,True,False,cres,alphatheta,30,0.453,0.365
126,True,False,cres,alphatheta,60,0.199,0.092
127,True,False,cres,alphatheta,120,0.546,0.54
128,True,False,cres,alphatheta,300,0.539,0.766
129,True,False,cres,beta,30,0.591,0.835
130,True,False,cres,beta,60,0.517,0.658
131,True,False,cres,beta,120,0.607,0.735
132,True,False,cres,beta,300,0.372,0.966
