2,RST2
3,RST3
4,RST4
5,RST5
6,RST6
7,RG1
8,RG2
9,RG3
10,RG4
15,RG9
16,RG10
17,RG11
18,RG12
19,RG13
23,RG17
24,RG18
25,RG19
26,RG20
31,RG25
71,RTA1
